serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,monthly_income_imputed
0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0,2500.0
0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,3960.0
0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,9507.0
0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0,26012.0
1,0.964672555,40,3,0.3829647470000001,13700.0,9,3,1,1,2.0,2769.0
0,0.061086118,78,0,2058.0,14170.0,10,0,2,0,0.0,14170.0
0,0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0.0,6200.0
0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0,2769.0
1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0,10000.0
0,0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0.0,8868.0
0,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0.0,3756.0
0,0.6933296809999999,42,2,0.257731959,2230.0,7,0,0,0,0.0,6000.0
0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0,2769.0
0,0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1.0,4000.0
0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,5007.0
0,0.368875933,68,0,1687.5,1.0,31,0,1,0,0.0,6250.0
0,0.9999999,62,0,0.0,3756.0,1,0,0,0,0.0,3756.0
0,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0.0,8300.0
0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0,1600.0
0,0.027399502000000003,69,0,0.00803428,5600.0,3,0,0,0,0.0,970.0
0,0.101155821,72,0,1720.0,4300.0,12,0,2,0,0.0,4300.0
0,0.0,67,0,0.540983607,3720.0,2,0,1,0,0.0,3781.0
0,0.006799093000000001,27,1,0.6810457520000001,764.0,3,0,0,0,0.0,970.0
0,0.122295933,29,0,0.694646949,4800.0,5,0,1,0,0.0,8300.0
0,0.460376317,37,0,0.074155949,4975.0,6,0,0,0,0.0,4466.0
0,0.270522569,41,0,2.797698945,1042.0,11,0,2,0,2.0,4000.0
0,0.054497069,56,0,0.492021814,4950.0,18,0,2,0,0.0,6401.0
0,0.360509632,58,1,3282.0,4000.0,8,0,2,0,0.0,4000.0
0,0.003749688,64,0,0.004061230999999999,3200.0,5,0,0,1,0.0,3960.0
0,0.24535301,37,0,0.288417167,6500.0,11,1,1,1,0.0,13343.0
0,0.0031088490000000003,57,0,0.258939285,8333.0,7,0,1,0,0.0,2500.0
0,0.6354151570000001,32,0,0.519493502,3000.0,4,0,1,0,1.0,1600.0
0,0.041257909,61,0,4739.0,13885.0,11,0,4,0,0.0,13885.0
0,0.31844615,58,0,1.3826291080000002,3833.0,26,0,4,0,0.0,13072.0
0,0.006541851,68,0,0.108089191,10000.0,10,0,2,0,1.0,14170.0
0,0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0.0,8300.0
0,0.0,59,0,0.218854341,19167.0,13,0,2,0,0.0,26012.0
0,0.0,48,0,0.517468688,4550.0,7,0,2,0,0.0,9507.0
0,0.163037489,81,0,0.086482558,2751.0,7,0,0,0,1.0,6000.0
0,0.047311582000000005,51,0,0.100920343,3150.0,5,0,0,0,0.0,3960.0
0,0.773519223,63,0,1.129227053,4139.0,12,0,1,0,1.0,3461.0
0,0.093962275,55,0,0.112051635,9450.0,6,0,2,0,0.0,8000.0
0,0.54699881,50,0,0.7480719790000001,3500.0,9,0,2,0,3.0,4000.0
0,0.072277109,34,0,0.025911708,2083.0,2,0,0,0,0.0,3500.0
0,0.121557062,58,0,0.342971419,12000.0,23,0,2,0,4.0,6708.0
0,0.147712223,40,0,0.034847816000000004,6800.0,6,0,0,0,3.0,4466.0
0,0.020966389,29,0,639.5,1.0,3,0,1,0,2.0,7500.0
0,0.16653274,53,0,0.5436259489999999,7506.0,11,0,3,0,3.0,6709.0
0,0.068335151,75,0,0.010927876,10065.0,9,0,0,0,0.0,12500.0
0,0.055549313,65,0,2177.0,8000.0,6,0,1,0,1.0,8000.0
0,0.676195456,55,0,0.436665827,3970.0,10,1,1,0,0.0,3622.0
0,0.184986787,55,4,3144.0,13343.0,11,0,1,0,0.0,13343.0
0,0.0112096,86,0,13.0,970.0,3,0,0,0,0.0,970.0
0,0.101430135,80,1,0.016196761,5000.0,9,0,0,0,0.0,12500.0
0,0.137609462,49,0,0.429533892,7272.0,11,0,2,0,0.0,4000.0
0,0.007506793,60,0,1253.0,2552.0,8,0,1,0,1.0,2552.0
0,0.046640328,92,1,0.034326669,2650.0,13,0,0,0,0.0,3764.0
0,0.292365949,50,0,0.420180551,8750.0,8,0,2,0,0.0,4000.0
0,0.9999999,66,1,0.358101135,1937.0,4,1,0,0,0.0,6200.0
0,0.222696207,42,0,800.0,1.0,3,0,1,0,2.0,7500.0
0,0.260271523,44,0,0.296854804,6962.0,11,0,1,0,0.0,13343.0
0,0.455950788,63,1,0.701766078,6001.0,19,0,2,0,0.0,17500.0
1,1.953488372,38,0,0.153500141,3556.0,5,0,0,0,2.0,3960.0
0,0.196372799,43,0,0.5374855820000001,2600.0,10,0,1,0,0.0,3622.0
0,0.034833091000000004,67,0,0.460246187,12916.0,9,0,2,0,0.0,4000.0
0,0.06037487,42,0,0.578676723,5833.0,17,0,2,0,2.0,11292.0
0,0.0,63,0,0.007988921999999999,9387.0,9,0,0,0,0.0,12500.0
0,0.034645112,65,0,0.125189985,12500.0,4,0,1,0,1.0,1600.0
0,0.976531824,32,0,0.264078812,6800.0,6,0,0,0,2.0,4466.0
0,0.007982621,43,1,0.009691169,208333.0,11,0,1,0,1.0,13343.0
0,0.267541336,59,0,0.637607437,5700.0,13,0,2,0,1.0,26012.0
0,0.019779326,76,0,0.267149259,2900.0,9,0,0,0,0.0,12500.0
0,0.029816467000000006,68,0,0.175139978,4464.0,12,0,1,0,1.0,3461.0
0,0.181713732,57,0,0.130453416,11666.0,17,0,1,0,1.0,8316.0
0,0.29264536,57,0,0.205927884,26484.0,11,0,2,0,3.0,4000.0
0,0.112855258,64,0,0.307576329,2652.0,6,0,1,0,0.0,8000.0
0,0.9999999,47,0,0.092163472,9493.0,2,2,0,1,0.0,3500.0
0,2340.0,45,0,0.339332853,8333.0,7,0,2,0,2.0,9507.0
0,0.025856408,67,0,0.083799311,13054.0,13,0,1,0,0.0,7700.0
0,0.0,55,1,0.03988553,5590.0,8,0,0,0,0.0,3151.0
0,0.948762809,27,0,0.144948404,4166.0,5,0,0,0,0.0,3960.0
0,0.0,32,2,0.463610776,7460.0,10,0,1,1,0.0,3622.0
0,0.016598893,30,0,0.13657561599999998,1500.0,5,0,0,0,0.0,3960.0
0,0.0,37,0,0.184027338,7900.0,5,0,1,0,5.0,8300.0
0,0.067259209,29,1,0.168340507,2090.0,3,0,0,0,0.0,970.0
0,0.727560021,38,0,0.7124587459999999,2423.0,6,0,1,0,1.0,8000.0
0,0.0,29,0,0.193935355,3000.0,7,0,0,0,0.0,6000.0
0,0.053589282,87,0,0.001534331,5213.0,4,0,0,0,0.0,6200.0
0,0.052653171,43,0,0.5722921910000001,1984.0,9,0,0,0,4.0,12500.0
0,0.203959597,46,0,0.072914726,16100.0,6,0,1,0,2.0,8000.0
1,0.880370887,43,0,0.461323764,7523.0,6,0,1,0,1.0,8000.0
0,0.335737457,50,0,0.45722203,5773.0,9,0,1,0,1.0,2769.0
1,0.635720859,68,1,0.218071277,25000.0,27,0,3,0,0.0,8776.0
0,0.0,58,0,8380.0,15000.0,20,0,5,0,0.0,15000.0
0,0.245841666,71,0,151.0,3960.0,5,0,0,0,0.0,3960.0
0,0.630073985,38,0,0.563328034,1886.0,3,0,1,0,0.0,7500.0
0,0.028423247,59,0,0.033982276,14330.0,12,0,1,0,0.0,3461.0
0,0.186682782,30,0,0.698120752,2500.0,7,0,2,0,2.0,9507.0
0,0.457526639,51,0,0.333583302,8000.0,16,0,2,0,2.0,1.0
0,0.502958087,57,0,6381.0,3580.0,5,0,2,0,0.0,3580.0
0,0.082317351,64,0,0.214426305,8636.0,29,0,1,0,1.0,4006.0
1,0.7391464879999999,63,1,0.285156885,6150.0,12,0,0,0,1.0,8574.0
0,0.9999999,22,0,130.0,2171.0,0,0,0,0,0.0,2171.0
